#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
25996,-4.55,4.55,-31.82
25996,-4.93,4.93,-34.49
26020,-4.81,4.81,-33.70
25996,-4.03,4.03,-28.21
25980,-2.56,2.56,-17.95
25988,-0.88,0.88,-6.13
24960,0.80,-0.80,5.63
23904,2.16,-2.16,15.09
24948,3.29,-3.29,23.05
24980,4.39,-4.39,30.74
24956,5.11,-5.11,35.75
24952,5.39,-5.39,37.75
24948,5.05,-5.05,35.33
24960,4.19,-4.19,29.34
24944,3.13,-3.13,21.88
24948,1.92,-1.92,13.43
24960,0.41,-0.41,2.89
23916,-0.91,0.91,-6.37
24944,-2.07,2.07,-14.46
26012,-2.88,2.88,-20.14
26040,-3.33,3.33,-23.30
25980,-3.37,3.37,-23.57
25992,-2.83,2.83,-19.82
26016,-1.92,1.92,-13.41
25940,-0.92,0.92,-6.47
24984,-0.23,0.23,-1.61
24960,0.19,-0.19,1.36
23896,0.21,-0.21,1.50
23924,-0.09,0.09,-0.62
24956,-0.45,0.45,-3.13
24972,-0.83,0.83,-5.80
24952,-1.19,1.19,-8.31
24960,-1.50,1.50,-10.51
25984,-1.81,1.81,-12.66
25976,-2.05,2.05,-14.35
26012,-2.27,2.27,-15.87
25988,-2.42,2.42,-16.94
26004,-2.51,2.51,-17.56
26020,-2.55,2.55,-17.84
26000,-2.54,2.54,-17.76
25996,-2.27,2.27,-15.89
25976,-2.04,2.04,-14.25
25996,-1.86,1.86,-13.02
25996,-1.67,1.67,-11.70
26016,-1.48,1.48,-10.37
25984,-1.29,1.29,-9.03
24976,-1.10,1.10,-7.73
24944,-0.97,0.97,-6.80
24988,-0.85,0.85,-5.95
24940,-0.79,0.79,-5.54
24944,-0.80,0.80,-5.59
24952,-0.87,0.87,-6.11
24956,-0.95,0.95,-6.65
24972,-1.05,1.05,-7.35
24952,-1.15,1.15,-8.07
24956,-1.25,1.25,-8.76
24948,-1.35,1.35,-9.44
24960,-1.44,1.44,-10.08
25988,-1.49,1.49,-10.46
