#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
24964,-1.86,1.86,-9.29
24968,-1.92,1.92,-9.62
24952,-2.23,2.23,-11.13
25996,-2.91,2.91,-14.55
25980,-3.86,3.86,-19.32
26028,-4.95,4.95,-24.76
25996,-6.21,6.21,-31.03
26012,-7.40,7.40,-37.01
25988,-8.18,8.18,-40.89
25988,-8.43,8.43,-42.15
25984,-8.13,8.13,-40.67
26012,-7.37,7.37,-36.84
25996,-6.10,6.10,-30.48
25992,-4.44,4.44,-22.18
25988,-2.59,2.59,-12.93
8,-4.88
24980,0.52,-0.52,2.61
23916,1.91,-1.91,9.55
23900,2.84,-2.84,14.19
24984,3.42,-3.42,17.12
24968,3.69,-3.69,18.44
24972,3.62,-3.62,18.09
24940,3.02,-3.02,15.09
24920,1.88,-1.88,9.38
23932,0.66,-0.66,3.32
23920,-0.63,0.63,-3.17
24948,-1.65,1.65,-8.26
24952,-2.54,2.54,-12.68
25988,-3.28,3.28,-16.39
26028,-3.95,3.95,-19.77
26016,-4.80,4.80,-24.00
26004,-5.54,5.54,-27.68
25980,-5.80,5.80,-29.02
26008,-5.65,5.65,-28.26
26004,-4.93,4.93,-24.66
25980,-3.81,3.81,-19.03
26004,-2.43,2.43,-12.17
25964,-1.18,1.18,-5.88
24972,-0.01,0.01,-0.04
24972,0.78,-0.78,3.89
23888,1.24,-1.24,6.22
23940,1.46,-1.46,7.30
23920,1.57,-1.57,7.87
23892,1.75,-1.75,8.77
23940,2.02,-2.02,10.09
24928,2.31,-2.31,11.55
24972,2.59,-2.59,12.94
24936,2.91,-2.91,14.55
24956,3.25,-3.25,16.25
24952,3.60,-3.60,17.99
24992,3.93,-3.93,19.66
24952,4.33,-4.33,21.63
24964,4.67,-4.67,23.37
24952,4.83,-4.83,24.15
24952,4.64,-4.64,23.21
24936,4.06,-4.06,20.31
24976,3.39,-3.39,16.97
24952,2.61,-2.61,13.05
24920,1.81,-1.81,9.06
23928,1.12,-1.12,5.58
23960,0.64,-0.64,3.19
23884,0.50,-0.50,2.48
23928,0.50,-0.50,2.51
23908,0.58,-0.58,2.92
23924,0.65,-0.65,3.26
23924,0.64,-0.64,3.21
23908,0.53,-0.53,2.65
23932,0.32,-0.32,1.60
23908,-0.02,0.02,-0.08
24972,-0.44,0.44,-2.19
24936,-0.87,0.87,-4.37
24952,-1.30,1.30,-6.50
24980,-1.70,1.70,-8.50
24916,-2.11,2.11,-10.55
26008,-2.43,2.43,-12.17
25976,-2.74,2.74,-13.72
26016,-3.02,3.02,-15.10
25996,-3.22,3.22,-16.10
26012,-3.40,3.40,-17.02
26020,-3.56,3.56,-17.78
26004,-3.61,3.61,-18.06
25996,-3.56,3.56,-17.79
25984,-3.33,3.33,-16.63
25952,-3.13,3.13,-15.64
26036,-2.99,2.99,-14.96
25984,-3.00,3.00,-15.02
25984,-2.97,2.97,-14.84
26004,-2.77,2.77,-13.83
25992,-2.56,2.56,-12.81
26008,-2.41,2.41,-12.05
25996,-2.22,2.22,-11.11
25988,-2.07,2.07,-10.36
26020,-2.00,2.00,-9.98
24948,-1.94,1.94,-9.69
24956,-1.92,1.92,-9.60
,-1.95,1.95,-9.77
24964,-2.03,2.03,-10.16
26012,-2.13,2.13,-10.65
25980,-2.25,2.25,-11.23
25996,-2.37,2.37,-11.85
25996,-2.47,2.47,-12.36
25984,-2.55,2.55,-12.76
26020,-2.61,2.61,-13.03
25996,-2.62,2.62,-13.12
25988,-2.61,2.61,-13.06
25988,-2.59,2.59,-12.93
26016,-2.53,2.53,-12.65
25976,-2.46,2.46,-12.32
26024,-2.40,2.40,-12.00
25992,-2.35,2.35,-11.73
25984,-2.31,2.31,-11.55
26000,-2.29,2.29,-11.46
25992,-2.06,2.06,-10.30
26000,-1.42,1.42,-7.12
24924,-0.44,0.44,-2.18
24996,0.66,-0.66,3.30
23908,1.76,-1.76,8.78
23916,2.91,-2.91,14.53
24956,4.23,-4.23,21.15
24968,5.77,-5.77,28.85
24956,7.09,-7.09,35.44
24964,8.10,-8.10,40.52
24964,8.52,-8.52,42.60
24940,8.60,-8.60,43.02
24968,8.21,-8.21,41.07
24956,7.49,-7.49,37.47
24932,6.21,-6.21,31.06
24980,4.42,-4.42,22.10
24956,2.44,-2.44,12.19
24928,0.57,-0.57,2.83
23904,-1.36,1.36,-6.80
24976,-3.16,3.16,-15.80
25972,-4.64,4.64,-23.22
26040,-5.90,5.90,-29.51
26000,-6.60,6.60,-33.01
25980,-6.19,6.19,-30.97
25992,-5.07,5.07,-25.33
26044,-3.36,3.36,-16.81
25944,-1.35,1.35,-6.73
24960,0.32,-0.32,1.62
23912,1.66,-1.66,8.31
23924,2.66,-2.66,13.28
24936,3.23,-3.23,16.15
24988,3.69,-3.69,18.47
24980,4.07,-4.07,20.36
24952,4.29,-4.29,21.45
24940,4.21,-4.21,21.04
24964,3.84,-3.84,19.21
24928,2.97,-2.97,14.86
24928,1.81,-1.81,9.06
23928,0.73,-0.73,3.67
23948,-0.19,0.19,-0.95
24928,-0.95,0.95,-4.75
24976,-1.69,1.69,-8.43
24960,-2.48,2.48,-12.39
25980,-3.27,3.27,-16.36
26004,-3.92,3.92,-19.59
26024,-4.52,4.52,-22.61
25976,-4.99,4.99,-24.96
26004,-5.14,5.14,-25.70
26012,-4.91,4.91,-24.56
25976,-4.44,4.44,-22.18
26008,-3.83,3.83,-19.15
25988,-3.10,3.10,-15.52
25968,-2.34,2.34,-11.69
26004,-1.79,1.79,-8.97
24968,-1.57,1.57,-7.87
24944,-1.46,1.46,-7.29
24936,-1.55,1.55,-7.76
24972,-1.93,1.93,-9.67
24968,-2.25,2.25,-11.24
25992,-2.31,2.31,-11.56
26004,-2.26,2.26,-11.28
7
26016,-2.08,2.08,-10.41
25976,-1.87,1.87,-9.36
24960,-1.71,1.71,-8.55
24956,-1.53,1.53,-7.63
24960,-1.35,1.35,-6.73
24948,-1.20,1.20,-5.99
24988,-1.07,1.07,-5.37
24948,-0.97,0.97,-4.83
24952,-0.88,0.88,-4.40
24960,-0.82,0.82,-4.10
24944,-0.78,0.78,-3.92
24944,-0.76,0.76,-3.80
24956,-0.76,0.76,-3.79
24988,-0.77,0.77,-3.87
24948,-0.80,0.80,-4.02
24972,-0.87,0.87,-4.34
24956,-0.94,0.94,-4.72
24948,-1.04,1.04,-5.18
24948,-1.14,1.14,-5.69
24948,-1.24,1.24,-6.18
24960,-1.33,1.33,-6.64
24952,-1.43,1.43,-7.16
24948,-1.53,1.53,-7.63
24964,-1.59,1.59,-7.95
24956,-1.63,1.63,-8.13
24976,-1.64,1.64,-8.20
24928,-1.62,1.62,-8.12
24980,-1.59,1.59,-7.97
24936,-1.56,1.56,-7.80
24960,-1.51,1.51,-7.54
24980,-1.45,1.45,-7.23
24948,-1.40,1.40,-7.00
24952,-1.35,1.35,-6.75
24980,-1.31,1.31,-6.54
24912,-1.29,1.29,-6.43
24976,-1.28,1.28,-6.42
24980,-1.28,1.28,-6.42
24932,-1.30,1.30,-6.50
24932,-1.32,1.32,-6.60
24964,-1.35,1.35,-6.74
24972,-1.38,1.38,-6.90
24956,-1.42,1.42,-7.08
24968,-1.44,1.44,-7.21
24940,-1.47,1.47,-7.33
24964,-1.47,1.47,-7.35
24952,-1.46,1.46,-7.30
24932,-1.45,1.45,-7.26
25000,-1.44,1.44,-7.20
24952,-1.44,1.44,-7.22
24956,-1.44,1.44,-7.20
24956,-1.43,1.43,-7.16
24956,-1.42,1.42,-7.11
24948,-1.40,1.40,-7.00
24960,-1.39,1.39,-6.95
24972,-1.39,1.39,-6.95
24952,-1.17,1.17,-5.86
24948,-0.59,0.59,-2.95
24944,0.32,-0.32,1.59
23928,1.40,-1.40,7.02
23912,2.88,-2.88,14.39
24964,4.46,-4.46,22.28
24964,6.24,-6.24,31.18
24988,8.08,-8.08,40.41
24944,9.54,-9.54,47.72
24948,10.67,-10.67,53.36
27012,11.45,-11.45,57.24
27056,11.84,-11.84,59.19
27040,11.13,-11.13,55.65
27048,9.61,-9.61,48.07
24940,7.75,-7.75,38.77
24956,5.78,-5.78,28.91
24956,3.54,-3.54,17.70
24960,1.35,-1.35,6.77
23896,-0.46,0.46,-2.32
24960,-2.25,2.25,-11.27
25980,-4.11,4.11,-20.54
26064,-5.58,5.58,-27.91
25984,-6.54,6.54,-32.71
26004,-6.53,6.53,-32.63
2,4.32,-21.59
25980,-0.72,0.72,-3.59
24956,2.58,-2.58,12.92
24960,5.47,-5.47,27.33
24976,8.16,-8.16,40.80
24952,10.45,-10.45,52.24
27016,12.21,-12.21,61.05
27060,13.40,-13.40,67.02
27044,13.43,-13.43,67.16
27024,11.97,-11.97,59.87
27024,9.37,-9.37,46.87
24964,6.40,-6.40,31.99
24936,2.98,-2.98,14.91
24960,-0.54,0.54,-2.68
24960,-3.75,3.75,-18.74
26008,-6.55,6.55,-32.76
25984,-8.41,8.41,-42.04
26000,-9.08,9.08,-45.40
26016,-7.51,7.51,-37.55
25988,-4.25,4.25,-21.27
26008,-0.92,0.92,-4.59
24932,1.92,-1.92,9.58
23892,4.76,-4.76,23.82
24976,7.40,-7.40,37.00
24976,9.48,-9.48,47.39
24984,11.10,-11.10,55.48
27012,11.77,-11.77,58.84
27032,11.25,-11.25,56.26
27044,9.06,-9.06,45.31
24940,6.31,-6.31,31.57
24952,3.23,-3.23,16.17
24944,0.50,-0.50,2.52
23912,-2.15,2.15,-10.74
25980,-4.72,4.72,-23.59
26032,-6.81,6.81,-34.04
25992,-8.51,8.51,-42.54
26012,-9.33,9.33,-46.67
25996,-8.96,8.96,-44.79
26008,-7.18,7.18,-35.91
25984,-4.95,4.95,-24.76
26024,-2.52,2.52,-12.59
25956,-0.39,0.39,-1.96
24952,1.70,-1.70,8.49
23932,3.47,-3.47,17.37
24948,4.76,-4.76,23.78
24940,5.67,-5.67,28.34
24992,6.00,-6.00,29.99
24956,5.45,-5.45,27.23
24924,4.27,-4.27,21.33
24976,2.77,-2.77,13.86
24920,0.99,-0.99,4.93
23936,-0.72,0.72,-3.58
24972,-2.36,2.36,-11.80
25988,-3.80,3.80,-18.98
26016,-4.96,4.96,-24.82
25992,-5.83,5.83,-29.14
25988,-6.56,6.56,-32.78
26016,-7.09,7.09,-35.45
25996,-7.22,7.22,-36.10
25984,-6.81,6.81,-34.04
25984,-5.95,5.95,-29.74
26004,-4.51,4.51,-22.54
25996,-2.86,2.86,-14.32
25980,-1.36,1.36,-6.78
24976,-0.02,0.02,-0.10
24932,0.87,-0.87,4.33
23912,1.46,-1.46,7.29
23944,1.83,-1.83,9.16
23900,2.01,-2.01,10.07
24968,1.96,-1.96,9.78
23908,1.74,-1.74,8.68
23932,1.22,-1.22,6.11
23912,0.52,-0.52,2.58
23896,-0.28,0.28,-1.42
24968,-1.19,1.19,-5.96
24972,-2.06,2.06,-10.29
25964,-2.98,2.98,-14.92
26000,-3.72,3.72,-18.61

25992,-4.79,4.79,-23.95
25992,-5.01,5.01,-25.07
26000,-5.14,5.14,-25.71
26016,-4.99,4.99,-24.93
25984,-4.53,4.53,-22.63
25980,-3.85,3.85,-19.27
26012,-3.05,3.05,-15.25
25968,-2.18,2.18,-10.90
26000,-1.49,1.49,-7.45
24952,-1.11,1.11,-5.57
24952,-0.80,0.80,-4.00
24960,-0.67,0.67,-3.34
24944,-0.65,0.65,-3.23
24968,-0.60,0.60,-3.00
24952,-0.49,0.49,-2.46
24964,-0.09,0.09,-0.46
24960,0.52,-0.52,2.59
23920,1.09,-1.09,5.47
23916,1.68,-1.68,8.39
23940,2.38,-2.38,11.91
24904,3.14,-3.14,15.72
24992,3.98,-3.98,19.90
24976,4.91,-4.91,24.57
24940,5.63,-5.63,28.14
24960,6.13,-6.13,30.67
24956,6.16,-6.16,30.78
24960,5.60,-5.60,28.01
24948,4.67,-4.67,23.37
24956,3.68,-3.68,18.42
24976,2.43,-2.43,12.16
24912,1.15,-1.15,5.74
23916,0.09,-0.09,0.44
23916,-0.89,0.89,-4.45
24948,-1.76,1.76,-8.80
24980,-2.26,2.26,-11.32
26004,-2.56,2.56,-12.81
25976,-2.73,2.73,-13.64
26012,-2.78,2.78,-13.92
25984,-2.85,2.85,-14.25
25984,-3.09,3.09,-15.44
26004,-3.40,3.40,-17.01
26020,-3.72,3.72,-18.62
26000,-4.04,4.04,-20.20
25996,-4.23,4.23,-21.17
25996,-4.16,4.16,-20.81
25992,-3.85,3.85,-19.25
25984,-3.47,3.47,-17.36
26008,-3.12,3.12,-15.61
25984,-2.71,2.71,-13.57
26004,-2.43,2.43,-12.14
25992,-2.47,2.47,-12.35
25980,-2.82,2.82,-14.12
26012,-3.33,3.33,-16.63
25988,-3.81,3.81,-19.06
26044,-4.25,4.25,-21.26
25980,-4.57,4.57,-22.86
26004,-4.49,4.49,-22.47
25980,-4.29,4.29,-21.43
25996,-3.91,3.91,-19.57
26008,-3.49,3.49,-17.47
26000,-3.07,3.07,-15.33
25964,-2.52,2.52,-12.60
25992,-2.14,2.14,-10.71
26004,-2.02,2.02,-10.12
26016,-2.10,2.10,-10.49
25976,-2.06,2.06,-10.32
26004,-1.81,1.81,-9.06
24948,-1.46,1.46,-7.30
24948,-0.99,0.99,-4.93
24976,-0.37,0.37,-1.83
24972,0.21,-0.21,1.03
