#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
Done!
24980,-0.82,0.82,-2.45
24952,-0.85,0.85,-2.54
24956,-0.87,0.87,-2.61
24956,-0.89,0.89,-2.67
24960,-0.91,0.91,-2.73
24940,-0.94,0.94,-2.82
24956,-0.97,0.97,-2.92
24940,-1.03,1.03,-3.09
24972,-1.04,1.04,-3.12
24952,-1.06,1.06,-3.19
24976,-1.04,1.04,-3.11
24952,-1.04,1.04,-3.13
24952,-1.03,1.03,-3.08
24968,-1.03,1.03,-3.08
24944,-1.03,1.03,-3.09
24968,-1.02,1.02,-3.07
24940,-0.97,0.97,-2.92
24976,-0.97,0.97,-2.92
24964,-0.98,0.98,-2.94
24944,-0.97,0.97,-2.92
24928,-0.98,0.98,-2.93
24992,-0.98,0.98,-2.94
24940,-1.00,1.00,-3.00
24960,-1.03,1.03,-3.09
24968,-1.04,1.04,-3.11
24952,-1.02,1.02,-3.07
6,-1.04,1.04,-3.12
24968,-1.01,1.01,-3.03
24956,-0.97,0.97,-2.92
24948,-0.92,0.92,-2.75
24972,-0.87,0.87,-2.60
24944,-0.82,0.82,-2.45
24968,-0.80,0.80,-2.39
24916,-0.79,0.79,-2.36
25000,-0.81,0.81,-2.43
24956,-0.85,0.85,-2.55
24940,-0.90,0.90,-2.70
24948,-0.95,0.95,-2.85
24960,-1.00,1.00,-2.99
24964,-1.03,1.03,-3.10
24960,-1.06,1.06,-3.17
24952,-1.06,1.06,-3.19
24968,-1.06,1.06,-3.18
24964,-1.04,1.04,-3.12
24944,-1.01,1.01,-3.04
24960,-0.99,0.99,-2.96
24960,-0.96,0.96,-2.89
24952,-0.96,0.96,-2.87
24948,-0.96,0.96,-2.87
24960,-0.95,0.95,-2.86
24968,-0.97,0.97,-2.90
24908,-0.98,0.98,-2.93
24984,-0.99,0.99,-2.98
24948,-1.01,1.01,-3.04
24976,-1.02,1.02,-3.06
24956,-1.03,1.03,-3.10
24980,-1.03,1.03,-3.09
24944,-1.02,1.02,-3.07
24944,-1.01,1.01,-3.04
24960,-1.01,1.01,-3.03
24960,-1.00,1.00,-2.99
24964,-1.00,1.00,-2.99
24968,-0.99,0.99,-2.98
24936,-1.00,1.00,-2.99
24948,-1.01,1.01,-3.02
24956,-1.01,1.01,-3.03
24932,-1.01,1.01,-3.04
25008,-1.03,1.03,-3.08
24952,-1.02,1.02,-3.07
24916,-1.02,1.02,-3.07
24952,-1.02,1.02,-3.05
25000,-1.02,1.02,-3.06
24944,-1.02,1.02,-3.06
24984,-1.02,1.02,-3.06
24944,-1.02,1.02,-3.05
24968,-1.01,1.01,-3.04
24928,-1.01,1.01,-3.04
24972,-1.01,1.01,-3.03
24936,-1.27,1.27,-3.81
24948,-1.90,1.90,-5.71
24968,-2.72,2.72,-8.17
24964,-3.70,3.70,-11.09
26012,-4.97,4.97,-14.92
25980,-6.27,6.27,-18.81
26032,-7.60,7.60,-22.80
25984,-8.83,8.83,-26.50
26000,-10.01,10.01,-30.03
28068,-10.98,10.98,-32.95
28084,-11.36,11.36,-34.09
28080,-11.30,11.30,-33.89
28076,-10.77,10.77,-32.31
28068,-9.70,9.70,-29.09
26000,-8.61,8.61,-25.82
26008,-7.41,7.41,-22.22
25984,-6.17,6.17,-18.52
25988,-4.82,4.82,-14.47
25968,-3.63,3.63,-10.89
26016,-2.61,2.61,-7.83
24940,-1.84,1.84,-5.53
24948,-1.43,1.43,-4.29
24952,-1.36,1.36,-4.09
24968,-1.62,1.62,-4.85
