#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
14594,2.19,-2.19,10.93,-0.60,10.93
14631,2.12,-2.12,10.61,-0.43,10.61
14669,2.07,-2.07,10.36,-0.33,10.36
14706,2.07,-2.07,10.36,0.00,10.36
14743,2.06,-2.06,10.32,-0.05,10.32
14780,2.07,-2.07,10.35,0.03,10.35
14817,2.09,-2.09,10.46,0.15,10.46
14853,2.11,-2.11,10.53,0.11,10.53
14889,2.11,-2.11,10.53,-0.00,10.53
14926,2.08,-2.08,10.41,-0.17,10.41
14964,2.06,-2.06,10.31,-0.13,10.31
15002,2.04,-2.04,10.21,-0.13,10.21
15039,2.04,-2.04,10.21,-0.00,10.21
15077,2.01,-2.01,10.07,-0.18,10.07
15114,2.03,-2.03,10.14,0.09,10.14
15151,2.03,-2.03,10.16,0.03,10.16
15186,2.04,-2.04,10.19,0.04,10.19
15223,2.03,-2.03,10.16,-0.04,10.16
15260,2.01,-2.01,10.06,-0.14,10.06
15298,2.01,-2.01,10.04,-0.03,10.04
15336,2.00,-2.00,10.02,-0.03,10.02
15373,1.99,-1.99,9.93,-0.11,9.93
15409,2.31,-2.31,11.53,2.22,11.53
15444,3.75,-3.75,18.75,10.32,18.75
15482,5.54,-5.54,27.70,11.77,27.70
15519,6.68,-6.68,33.40,7.71,33.40
15556,7.56,-7.56,37.81,5.96,37.81
15592,7.61,-7.61,38.05,0.33,38.05
15629,6.14,-6.14,30.71,-9.92,30.71
15667,3.41,-3.41,17.03,-17.99,17.03
15705,-0.02,0.02,-0.08,-22.51,-0.08
15744,-3.55,3.55,-17.76,-22.67,-17.76
15783,-7.14,7.14,-35.72,-23.03,-35.72
15824,-9.22,9.22,-46.10,-12.66,-46.10
15865,-8.80,8.80,-43.99,2.57,-43.99
15903,-6.76,6.76,-33.80,13.41,-33.80
15943,-3.12,3.12,-15.58,22.78,-15.58
15982,0.32,-0.32,1.60,22.02,1.60
16018,3.49,-3.49,17.44,22.00,17.44
16055,6.15,-6.15,30.76,18.01,30.76
16093,7.37,-7.37,36.87,8.04,36.87
16130,6.28,-6.28,31.39,-7.41,31.39
16166,3.72,-3.72,18.60,-17.77,18.60
16205,0.56,-0.56,2.79,-20.26,2.79
16241,-2.65,2.65,-13.27,-22.30,-13.27
16282,-5.85,5.85,-29.26,-19.50,-29.26
.17,-42.99
16363,-10.08,10.08,-50.39,-9.02,-50.39
16405,-9.80,9.80,-49.01,1.65,-49.01
16443,-8.10,8.10,-40.49,11.21,-40.49
16483,-4.28,4.28,-21.41,23.84,-21.41
16522,-0.03,0.03,-0.13,27.28,-0.13
16560,4.30,-4.30,21.51,28.47,21.51
16598,7.91,-7.91,39.56,23.75,39.56
16634,10.43,-10.43,52.16,17.49,52.16
16674,9.64,-9.64,48.20,-4.95,48.20
16711,5.91,-5.91,29.55,-25.21,29.55
16750,0.86,-0.86,4.29,-32.38,4.29
16786,-4.57,4.57,-22.86,-37.70,-22.86
16827,-10.33,10.33,-51.63,-35.09,-51.63
16870,-13.88,13.88,-69.41,-20.68,-69.41
16912,-13.50,13.50,-67.49,2.29,-67.49
16953,-8.73,8.73,-43.63,29.10,-43.63
16993,-2.53,2.53,-12.65,38.72,-12.65
17032,4.42,-4.42,22.11,44.56,22.11
17070,10.57,-10.57,52.87,40.48,52.87
17108,15.06,-15.06,75.30,29.52,75.30
17148,15.33,-15.33,76.66,1.69,76.66
17186,10.72,-10.72,53.62,-30.32,53.62
17227,3.33,-3.33,16.64,-45.10,16.64
17266,-4.43,4.43,-22.15,-49.72,-22.15
17306,-12.87,12.87,-64.33,-52.72,-64.33
17349,-19.26,19.26,-96.31,-37.20,-96.31
17392,-19.27,19.27,-96.36,-0.05,-96.36
17433,-12.19,12.19,-60.95,43.18,-60.95
17475,-1.71,1.71,-8.56,62.37,-8.56
17512,7.97,-7.97,39.87,65.45,39.87
17550,17.55,-17.55,87.74,62.98,87.74
17589,24.75,-24.75,123.77,46.19,123.77
17631,24.96,-24.96,124.79,1.22,124.79
17672,17.51,-17.51,87.56,-45.40,87.56
17712,5.50,-5.50,27.48,-75.10,27.48
17751,-8.16,8.16,-40.78,-87.51,-40.78
17792,-21.20,21.20,-106.00,-79.53,-106.00
17836,-31.74,31.74,-158.71,-59.91,-158.71
