#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
26016,-2.61,2.61,-26.11
25996,-3.28,3.28,-32.85
26008,-3.60,3.60,-35.97
25976,-3.57,3.57,-35.68
26004,-2.93,2.93,-29.26
25992,-2.02,2.02,-20.25
26020,-0.67,0.67,-6.74
24900,0.62,-0.62,6.23
23940,1.59,-1.59,15.87
24980,2.33,-2.33,23.28
24976,2.88,-2.88,28.83
24920,2.98,-2.98,29.81
24992,2.37,-2.37,23.70
24948,1.35,-1.35,13.48
24928,0.04,-0.04,0.44
23924,-1.16,1.16,-11.59
25968,-2.28,2.28,-22.80
26028,-3.07,3.07,-30.66
26012,-3.24,3.24,-32.37
25976,-2.84,2.84,-28.37
25996,-1.93,1.93,-19.32
26024,-0.81,0.81,-8.14
24924,0.33,-0.33,3.32
23888,1.29,-1.29,12.93
24996,2.02,-2.02,20.19
24980,2.72,-2.72,27.18
24924,3.16,-3.16,31.62
24952,3.24,-3.24,32.39
24996,2.96,-2.96,29.56
24912,2.15,-2.15,21.53
24952,1.02,-1.02,10.20
24944,-0.19,0.19,-1.87
24992,-1.41,1.41,-14.08
2.64,2.64,-26.42
26024,-3.55,3.55,-35.48
26016,-3.74,3.74,-37.41
25968,-2.94,2.94,-29.38
26044,-1.50,1.50,-15.01
25940,0.05,-0.05,0.53
23952,1.30,-1.30,12.98
24928,2.33,-2.33,23.26
24984,3.03,-3.03,30.32
24968,3.16,-3.16,31.55
24928,2.59,-2.59,25.86
24980,1.59,-1.59,15.86
24916,0.23,-0.23,2.31
23948,-1.25,1.25,-12.53
26008,-2.75,2.75,-27.48
25980,-4.06,4.06,-40.56
26008,-5.02,5.02,-50.22
25992,-5.25,5.25,-52.50
25984,-4.09,4.09,-40.93
26012,-2.09,2.09,-20.90
25988,0.20,-0.20,1.95
23900,2.31,-2.31,23.12
24964,4.29,-4.29,42.89
24944,5.82,-5.82,58.17
24972,6.53,-6.53,65.31
24948,6.33,-6.33,63.34
24944,4.80,-4.80,48.01
24976,1.41,-1.41,14.12
24936,-2.62,2.62,-26.22
26040,-7.18,7.18,-71.84
25988,-10.65,10.65,-106.52
29112,-13.19,13.19,-131.87
29124,-11.09,11.09,-110.91
29120,-6.38,6.38,-63.78
25984,1.13,-1.13,11.29
24936,8.97,-8.97,89.66
24984,16.69,-16.69,166.95
