#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
34,-1.91,1.91,-5.73,-5.60,-5.73
35,-2.66,2.66,-7.98,-5.37,-7.98
34,-3.08,3.08,-9.25,-3.11,-9.25
35,-3.11,3.11,-9.34,-0.22,-9.34
35,-3.05,3.05,-9.15,0.46,-9.15
32,-2.80,2.80,-8.41,1.94,-8.41
34,-2.51,2.51,-7.52,2.17,-7.52
33,-2.24,2.24,-6.72,2.02,-6.72
34,-2.06,2.06,-6.17,1.34,-6.17
32,-1.98,1.98,-5.94,0.60,-5.94
34,-2.03,2.03,-6.08,-0.34,-6.08
34,-1.45,1.45,-4.35,4.25,-4.35
34,0.06,-0.06,0.19,11.11,0.19
32,1.83,-1.83,5.49,13.81,5.49
32,3.27,-3.27,9.80,11.21,9.80
32,4.97,-4.97,14.92,13.34,14.92
35,7.48,-7.48,22.45,17.93,22.45
.61,29.23
34,11.58,-11.58,34.74,13.51,34.74
36,12.95,-12.95,38.86,9.55,38.86
36,13.25,-13.25,39.74,2.04,39.74
35,12.47,-12.47,37.41,-5.55,37.41
37,10.91,-10.91,32.74,-10.52,32.74
37,8.63,-8.63,25.90,-15.41,25.90
36,6.34,-6.34,19.03,-15.91,19.03
34,3.93,-3.93,11.79,-17.73,11.79
36,1.40,-1.40,4.19,-17.59,4.19
33,-0.80,0.80,-2.40,-16.66,-2.40
36,-3.01,3.01,-9.03,-15.35,-9.03
35,-4.95,4.95,-14.86,-13.86,-14.86
37,-6.27,6.27,-18.82,-8.92,-18.82
37,-7.15,7.15,-21.46,-5.95,-21.46
36,-7.27,7.27,-21.81,-0.81,-21.81
37,-6.34,6.34,-19.01,6.31,-19.01
35,-5.10,5.10,-15.30,8.84,-15.30
36,-4.10,4.10,-12.31,6.91,-12.31
35,-3.50,3.50,-10.51,4.30,-10.51
35,-3.59,3.59,-10.76,-0.59,-10.76
36,-4.06,4.06,-12.19,-3.32,-12.19
37,-4.58,4.58,-13.74,-3.49,-13.74
36,-5.06,5.06,-15.18,-3.32,-15.18
37,-5.46,5.46,-16.38,-2.70,-16.38
37,-5.67,5.67,-17.00,-1.41,-17.00
35,-5.66,5.66,-16.98,0.05,-16.98
36,-5.20,5.20,-15.60,3.19,-15.60
35,-4.97,4.97,-14.92,1.62,-14.92
36,-4.66,4.66,-13.97,2.21,-13.97
35,-4.30,4.30,-12.90,2.54,-12.90
36,-4.17,4.17,-12.50,0.94,-12.50
34,-4.07,4.07,-12.21,0.71,-12.21
36,-4.20,4.20,-12.60,-0.92,-12.60
36,-4.36,4.36,-13.08,-1.10,-13.08
37,-4.58,4.58,-13.74,-1.50,-13.74
36,-4.74,4.74,-14.21,-1.07,-14.21
37,-4.83,4.83,-14.49,-0.64,-14.49
37,-4.83,4.83,-14.50,-0.03,-14.50
35,-4.77,4.77,-14.30,0.48,-14.30
36,-4.65,4.65,-13.96,0.79,-13.96
35,-4.53,4.53,-13.58,0.90,-13.58
36,-4.44,4.44,-13.33,0.57,-13.33
35,-4.40,4.40,-13.21,0.28,-13.21
36,-4.42,4.42,-13.27,-0.13,-13.27
35,-4.48,4.48,-13.45,-0.44,-13.45
37,-4.56,4.56,-13.67,-0.50,-13.67
36,-4.63,4.63,-13.89,-0.50,-13.89
37,-3.50,3.50,-10.49,7.66,-10.49
35,-1.05,1.05,-3.16,17.46,-3.16
35,1.43,-1.43,4.29,17.74,4.29
31,3.91,-3.91,11.73,19.99,11.73
35,7.53,-7.53,22.58,25.82,22.58
34,11.12,-11.12,33.37,26.46,33.37
37,14.75,-14.75,44.24,24.49,44.24
37,17.23,-17.23,51.68,16.74,51.68
